roomNumber,bin,user_id,prev_people,curr_people,expected_people,max_people,prev_entry_time,curr_entry_time,true_critical_section_nanoTime_start,true_critical_section_nanoTime_end,anomaly_type,room_entry_sequence,lost_update_expected,lost_update_actual,lost_update_diff,contention_group_size,contention_user_ids,over_capacity_amount,over_capacity_curr,over_capacity_max,expected_curr_by_sequence,actual_curr_people,curr_sequence_diff,sorted_sequence_position,intervening_users_in_critical_section,intervening_user_count_critical,true_critical_section_duration_nanos
1170,2,yhjj872,20,22,21.0,100,2025-07-12 06:02:15.982303+00:00,2025-07-12 06:02:15.982303+00:00,3607705981500,3607707424600,"값 불일치, 경합 발생 오류",21,21.0,22.0,1.0,4,"yhjj872, yhjj969, yhjj833, yhjj950",,,,,,,,"yhjj969, yhjj833, yhjj950",3,1443100
1170,2,yhjj918,23,24,24.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3607713299300,3607713536700,경합 발생 오류,23,,,,3,"yhjj870, yhjj918, yhjj842",,,,,,,,"yhjj842, yhjj870",2,237400
1170,2,yhjj842,23,26,24.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3607713416000,3607713695000,"값 불일치, 경합 발생 오류, 상태 전이 오류",24,24.0,26.0,2.0,3,"yhjj870, yhjj918, yhjj842",,,,25.0,26.0,1.0,24.0,"yhjj918, yhjj870",2,279000
1170,2,yhjj870,24,25,25.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3607713476800,3607713890500,"경합 발생 오류, 상태 전이 오류",25,,,,3,"yhjj870, yhjj918, yhjj842",,,,26.0,25.0,-1.0,25.0,"yhjj918, yhjj842",2,413700
1170,2,yhjj921,29,30,30.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,3607713953300,3607717447100,"경합 발생 오류, 상태 전이 오류",26,,,,3,"yhjj944, yhjj921, yhjj820",,,,27.0,30.0,3.0,26.0,"yhjj820, yhjj889, yhjj883, yhjj879, yhjj944",5,3493800
1170,2,yhjj820,26,32,27.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.993426+00:00,3607714224500,3607717645200,"값 불일치, 경합 발생 오류, 상태 전이 오류",27,27.0,32.0,5.0,3,"yhjj944, yhjj921, yhjj820",,,,28.0,32.0,4.0,27.0,"yhjj921, yhjj889, yhjj883, yhjj879, yhjj944",5,3420700
1170,2,yhjj889,26,27,27.0,100,2025-07-12 06:02:15.987827+00:00,2025-07-12 06:02:15.987827+00:00,3607714281000,3607714368900,"경합 발생 오류, 상태 전이 오류",28,,,,3,"yhjj889, yhjj921, yhjj820",,,,29.0,27.0,-2.0,28.0,"yhjj921, yhjj820",2,87900
1170,2,yhjj883,27,28,28.0,100,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,3607715012500,3607715108300,"경합 발생 오류, 상태 전이 오류",29,,,,4,"yhjj879, yhjj921, yhjj820, yhjj883",,,,30.0,28.0,-2.0,29.0,"yhjj921, yhjj820, yhjj879",3,95800
1170,2,yhjj879,28,29,29.0,100,2025-07-12 06:02:15.991414+00:00,2025-07-12 06:02:15.991414+00:00,3607715029100,3607715992100,"경합 발생 오류, 상태 전이 오류",30,,,,4,"yhjj879, yhjj921, yhjj820, yhjj883",,,,31.0,29.0,-2.0,30.0,"yhjj921, yhjj820, yhjj883",3,963000
1170,2,yhjj944,30,31,31.0,100,2025-07-12 06:02:15.993426+00:00,2025-07-12 06:02:15.993426+00:00,3607717154100,3607717233500,"경합 발생 오류, 상태 전이 오류",31,,,,3,"yhjj944, yhjj921, yhjj820",,,,32.0,31.0,-1.0,31.0,"yhjj921, yhjj820",2,79400
1170,2,yhjj853,36,38,37.0,100,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.006072+00:00,3607725821100,3607729894100,"값 불일치, 경합 발생 오류, 상태 전이 오류",36,37.0,38.0,1.0,2,"yhjj887, yhjj853",,,,37.0,38.0,1.0,36.0,"yhjj951, yhjj887",2,4073000
1170,2,yhjj951,36,37,37.0,100,2025-07-12 06:02:16.002057+00:00,2025-07-12 06:02:16.002057+00:00,3607726036900,3607726311000,"경합 발생 오류, 상태 전이 오류",37,,,,2,"yhjj951, yhjj853",,,,38.0,37.0,-1.0,37.0,yhjj853,1,274100
1170,2,yhjj887,38,39,39.0,100,2025-07-12 06:02:16.004063+00:00,2025-07-12 06:02:16.006072+00:00,3607729305900,3607730596100,경합 발생 오류,38,,,,2,"yhjj887, yhjj853",,,,,,,,yhjj853,1,1290200
1170,2,yhjj832,39,40,40.0,100,2025-07-12 06:02:16.008080+00:00,2025-07-12 06:02:16.008080+00:00,3607732192100,3607732296700,경합 발생 오류,39,,,,2,"yhjj925, yhjj832",,,,,,,,yhjj925,1,104600
1170,2,yhjj925,40,41,41.0,100,2025-07-12 06:02:16.008080+00:00,2025-07-12 06:02:16.008080+00:00,3607732212500,3607732350900,경합 발생 오류,40,,,,2,"yhjj925, yhjj832",,,,,,,,yhjj832,1,138400
1170,3,yhjj826,48,53,49.0,100,2025-07-12 06:02:16.021469+00:00,2025-07-12 06:02:16.023479+00:00,3607746797400,3607747812400,"값 불일치, 경합 발생 오류, 상태 전이 오류",48,49.0,53.0,4.0,4,"yhjj920, yhjj826, yhjj844, yhjj972",,,,49.0,53.0,4.0,48.0,"yhjj998, yhjj844, yhjj972, yhjj920",4,1015000
1170,3,yhjj998,48,49,49.0,100,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3607746968700,3607747022500,"경합 발생 오류, 상태 전이 오류",49,,,,2,"yhjj998, yhjj826",,,,50.0,49.0,-1.0,49.0,yhjj826,1,53800
1170,3,yhjj844,49,51,50.0,100,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3607747110000,3607747625700,"값 불일치, 경합 발생 오류",50,50.0,51.0,1.0,4,"yhjj920, yhjj826, yhjj844, yhjj972",,,,,,,,"yhjj826, yhjj972, yhjj920",3,515700
1170,3,yhjj972,49,50,50.0,100,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3607747122700,3607747324700,"경합 발생 오류, 상태 전이 오류",51,,,,4,"yhjj920, yhjj826, yhjj844, yhjj972",,,,52.0,50.0,-2.0,51.0,"yhjj826, yhjj844, yhjj920",3,202000
1170,3,yhjj920,49,52,50.0,100,2025-07-12 06:02:16.023479+00:00,2025-07-12 06:02:16.023479+00:00,3607747141900,3607747681600,"값 불일치, 경합 발생 오류, 상태 전이 오류",52,50.0,52.0,2.0,4,"yhjj920, yhjj826, yhjj844, yhjj972",,,,53.0,52.0,-1.0,52.0,"yhjj826, yhjj844, yhjj972",3,539700
1170,3,yhjj1000,57,59,58.0,100,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.030518+00:00,3607753705200,3607755051200,"값 불일치, 경합 발생 오류, 상태 전이 오류",57,58.0,59.0,1.0,2,"yhjj825, yhjj1000",,,,58.0,59.0,1.0,57.0,yhjj825,1,1346000
1170,3,yhjj825,57,58,58.0,100,2025-07-12 06:02:16.029511+00:00,2025-07-12 06:02:16.029511+00:00,3607753798800,3607753840700,"경합 발생 오류, 상태 전이 오류",58,,,,2,"yhjj825, yhjj1000",,,,59.0,58.0,-1.0,58.0,yhjj1000,1,41900
1170,4,yhjj915,65,66,66.0,100,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.037662+00:00,3607760476300,3607761155700,"경합 발생 오류, 상태 전이 오류",63,,,,2,"yhjj979, yhjj915",,,,64.0,66.0,2.0,63.0,"yhjj897, yhjj979",2,679400
1170,4,yhjj897,63,64,64.0,100,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,3607760698100,3607760744100,"경합 발생 오류, 상태 전이 오류",64,,,,2,"yhjj897, yhjj915",,,,65.0,64.0,-1.0,64.0,yhjj915,1,46000
1170,4,yhjj979,64,65,65.0,100,2025-07-12 06:02:16.035649+00:00,2025-07-12 06:02:16.035649+00:00,3607760861800,3607760994300,"경합 발생 오류, 상태 전이 오류",65,,,,2,"yhjj979, yhjj915",,,,66.0,65.0,-1.0,65.0,yhjj915,1,132500
1170,4,yhjj837,66,68,67.0,100,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,3607764837100,3607765566100,"값 불일치, 경합 발생 오류, 상태 전이 오류",66,67.0,68.0,1.0,2,"yhjj1002, yhjj837",,,,67.0,68.0,1.0,66.0,yhjj1002,1,729000
1170,4,yhjj1002,66,67,67.0,100,2025-07-12 06:02:16.040671+00:00,2025-07-12 06:02:16.040671+00:00,3607764974100,3607765016100,"경합 발생 오류, 상태 전이 오류",67,,,,2,"yhjj1002, yhjj837",,,,68.0,67.0,-1.0,67.0,yhjj837,1,42000
1170,4,yhjj899,72,73,73.0,100,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,3607766728900,3607767518400,"경합 발생 오류, 상태 전이 오류",69,,,,3,"yhjj967, yhjj899, yhjj919",,,,70.0,73.0,3.0,69.0,"yhjj919, yhjj894, yhjj876, yhjj967",4,789500
1170,4,yhjj919,73,74,74.0,100,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.044637+00:00,3607766748300,3607769142400,"경합 발생 오류, 상태 전이 오류",70,,,,3,"yhjj967, yhjj899, yhjj919",,,,71.0,74.0,3.0,70.0,"yhjj899, yhjj894, yhjj876, yhjj967",4,2394100
1170,4,yhjj894,69,70,70.0,100,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,3607766827800,3607766886800,"경합 발생 오류, 상태 전이 오류",71,,,,3,"yhjj894, yhjj899, yhjj919",,,,72.0,70.0,-2.0,71.0,"yhjj899, yhjj919",2,59000
1170,4,yhjj876,70,71,71.0,100,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.042680+00:00,3607767183500,3607767315700,"경합 발생 오류, 상태 전이 오류",72,,,,3,"yhjj876, yhjj899, yhjj919",,,,73.0,71.0,-2.0,72.0,"yhjj899, yhjj919",2,132200
1170,4,yhjj967,71,72,72.0,100,2025-07-12 06:02:16.042680+00:00,2025-07-12 06:02:16.045894+00:00,3607767364200,3607769504200,"경합 발생 오류, 상태 전이 오류",73,,,,3,"yhjj967, yhjj899, yhjj919",,,,74.0,72.0,-2.0,73.0,"yhjj899, yhjj919",2,2140000
1170,4,yhjj928,78,82,79.0,100,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,3607775279700,3607776241500,"값 불일치, 경합 발생 오류, 상태 전이 오류",78,79.0,82.0,3.0,5,"yhjj968, yhjj928, yhjj885, yhjj994, yhjj910",,,,79.0,82.0,3.0,78.0,"yhjj858, yhjj846, yhjj885, yhjj908, yhjj994, yhjj910, yhjj968",7,961800
1170,4,yhjj858,78,79,79.0,100,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,3607775349200,3607776041400,"경합 발생 오류, 상태 전이 오류",79,,,,6,"yhjj994, yhjj928, yhjj858, yhjj885, yhjj910, yhjj968",,,,80.0,79.0,-1.0,79.0,"yhjj928, yhjj846, yhjj885, yhjj908, yhjj994",5,692200
1170,4,yhjj846,79,80,80.0,100,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.050379+00:00,3607775446800,3607775488900,"경합 발생 오류, 상태 전이 오류",80,,,,3,"yhjj846, yhjj928, yhjj858",,,,81.0,80.0,-1.0,80.0,"yhjj928, yhjj858",2,42100
1170,5,yhjj885,80,81,81.0,100,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.052389+00:00,3607775638300,3607776191400,"경합 발생 오류, 상태 전이 오류",81,,,,5,"yhjj968, yhjj928, yhjj885, yhjj994, yhjj910",,,,82.0,81.0,-1.0,81.0,"yhjj928, yhjj858, yhjj908, yhjj994, yhjj910, yhjj968",6,553100
1170,5,yhjj908,81,83,82.0,100,2025-07-12 06:02:16.050379+00:00,2025-07-12 06:02:16.050379+00:00,3607775684800,3607775736600,"값 불일치, 경합 발생 오류",82,82.0,83.0,1.0,4,"yhjj908, yhjj928, yhjj858, yhjj885",,,,,,,,"yhjj928, yhjj858, yhjj885",3,51800
1170,5,yhjj994,83,85,84.0,100,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,3607775956400,3607776546300,"값 불일치, 경합 발생 오류, 상태 전이 오류",83,84.0,85.0,1.0,5,"yhjj968, yhjj928, yhjj885, yhjj994, yhjj910",,,,84.0,85.0,1.0,83.0,"yhjj928, yhjj858, yhjj885, yhjj910, yhjj968",5,589900
1170,5,yhjj910,85,86,86.0,100,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.054401+00:00,3607776060900,3607777920500,"경합 발생 오류, 상태 전이 오류",84,,,,5,"yhjj968, yhjj928, yhjj885, yhjj994, yhjj910",,,,85.0,86.0,1.0,84.0,"yhjj928, yhjj885, yhjj994, yhjj968",4,1859600
1170,5,yhjj968,83,84,84.0,100,2025-07-12 06:02:16.052389+00:00,2025-07-12 06:02:16.052389+00:00,3607776114100,3607776158500,"경합 발생 오류, 상태 전이 오류",85,,,,5,"yhjj968, yhjj928, yhjj885, yhjj994, yhjj910",,,,86.0,84.0,-2.0,85.0,"yhjj928, yhjj885, yhjj994, yhjj910",4,44400
1170,6,yhjj851,100,100,,100,2025-07-12 06:02:16.069678+00:00,2025-07-12 06:02:16.069678+00:00,3607794413200,3607794608500,경합 발생 오류,104,,,,2,"yhjj867, yhjj851",,,,,,,,yhjj867,1,195300
1170,6,yhjj867,100,100,,100,2025-07-12 06:02:16.069678+00:00,2025-07-12 06:02:16.069678+00:00,3607794492500,3607794514600,경합 발생 오류,105,,,,2,"yhjj867, yhjj851",,,,,,,,yhjj851,1,22100
1170,6,yhjj938,100,100,,100,2025-07-12 06:02:16.077915+00:00,2025-07-12 06:02:16.077915+00:00,3607803040500,3607803077000,경합 발생 오류,113,,,,3,"yhjj898, yhjj938, yhjj937",,,,,,,,yhjj898,1,36500
1170,6,yhjj898,100,100,,100,2025-07-12 06:02:16.077915+00:00,2025-07-12 06:02:16.077915+00:00,3607803048100,3607803120400,경합 발생 오류,114,,,,2,"yhjj937, yhjj898",,,,,,,,"yhjj938, yhjj937",2,72300
1170,6,yhjj937,100,100,,100,2025-07-12 06:02:16.077915+00:00,2025-07-12 06:02:16.077915+00:00,3607803099300,3607803126000,경합 발생 오류,115,,,,2,"yhjj937, yhjj898",,,,,,,,yhjj898,1,26700
1170,7,yhjj914,100,100,,100,2025-07-12 06:02:16.082305+00:00,2025-07-12 06:02:16.084315+00:00,3607807094200,3607808295400,경합 발생 오류,126,,,,3,"yhjj955, yhjj914, yhjj991",,,,,,,,"yhjj991, yhjj955",2,1201200
1170,7,yhjj991,100,100,,100,2025-07-12 06:02:16.084315+00:00,2025-07-12 06:02:16.084315+00:00,3607808148100,3607808384500,경합 발생 오류,127,,,,4,"yhjj997, yhjj991, yhjj821, yhjj956",,,,,,,,"yhjj914, yhjj955, yhjj997",3,236400
1170,7,yhjj955,100,100,,100,2025-07-12 06:02:16.084315+00:00,2025-07-12 06:02:16.084315+00:00,3607808209800,3607808233100,경합 발생 오류,128,,,,3,"yhjj955, yhjj914, yhjj991",,,,,,,,"yhjj914, yhjj991",2,23300
1170,7,yhjj997,100,100,,100,2025-07-12 06:02:16.084315+00:00,2025-07-12 06:02:16.085326+00:00,3607808323100,3607809283900,경합 발생 오류,129,,,,2,"yhjj956, yhjj997",,,,,,,,"yhjj991, yhjj821, yhjj956",3,960800
1170,7,yhjj821,100,100,,100,2025-07-12 06:02:16.084315+00:00,2025-07-12 06:02:16.084315+00:00,3607808506400,3607808527300,경합 발생 오류,130,,,,2,"yhjj821, yhjj997",,,,,,,,yhjj997,1,20900
1170,7,yhjj956,100,100,,100,2025-07-12 06:02:16.085326+00:00,2025-07-12 06:02:16.085326+00:00,3607808779500,3607808805500,경합 발생 오류,131,,,,2,"yhjj956, yhjj997",,,,,,,,yhjj997,1,26000
1170,7,yhjj993,100,100,,100,2025-07-12 06:02:16.085326+00:00,2025-07-12 06:02:16.085326+00:00,3607810355400,3607810465000,경합 발생 오류,134,,,,2,"yhjj995, yhjj993",,,,,,,,yhjj995,1,109600
1170,7,yhjj995,100,100,,100,2025-07-12 06:02:16.085326+00:00,2025-07-12 06:02:16.085326+00:00,3607810429100,3607810607900,경합 발생 오류,135,,,,2,"yhjj995, yhjj993",,,,,,,,yhjj993,1,178800
1170,8,yhjj948,100,100,,100,2025-07-12 06:02:16.087338+00:00,2025-07-12 06:02:16.087338+00:00,3607812526300,3607812656400,경합 발생 오류,142,,,,2,"yhjj1004, yhjj948",,,,,,,,yhjj1004,1,130100
1170,8,yhjj1004,100,100,,100,2025-07-12 06:02:16.087338+00:00,2025-07-12 06:02:16.087338+00:00,3607812547600,3607812575300,경합 발생 오류,143,,,,2,"yhjj1004, yhjj948",,,,,,,,yhjj948,1,27700
1170,8,yhjj830,100,100,,100,2025-07-12 06:02:16.089348+00:00,2025-07-12 06:02:16.089348+00:00,3607814962500,3607815263600,경합 발생 오류,149,,,,3,"yhjj954, yhjj830, yhjj973",,,,,,,,"yhjj1005, yhjj973, yhjj954",3,301100
1170,8,yhjj1005,100,100,,100,2025-07-12 06:02:16.089348+00:00,2025-07-12 06:02:16.089348+00:00,3607814967000,3607814996900,경합 발생 오류,150,,,,2,"yhjj1005, yhjj830",,,,,,,,yhjj830,1,29900
1170,8,yhjj973,100,100,,100,2025-07-12 06:02:16.089348+00:00,2025-07-12 06:02:16.089348+00:00,3607815074000,3607815297000,경합 발생 오류,151,,,,3,"yhjj954, yhjj830, yhjj973",,,,,,,,"yhjj830, yhjj954",2,223000
1170,8,yhjj954,100,100,,100,2025-07-12 06:02:16.089348+00:00,2025-07-12 06:02:16.089348+00:00,3607815090100,3607815113500,경합 발생 오류,152,,,,3,"yhjj954, yhjj830, yhjj973",,,,,,,,"yhjj830, yhjj973",2,23400
1170,9,yhjj923,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607818781000,3607819131900,경합 발생 오류,163,,,,2,"yhjj911, yhjj923",,,,,,,,"yhjj961, yhjj911",2,350900
1170,9,yhjj961,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607818795700,3607818816200,경합 발생 오류,164,,,,2,"yhjj961, yhjj923",,,,,,,,yhjj923,1,20500
1170,9,yhjj911,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607818906200,3607818925800,경합 발생 오류,165,,,,2,"yhjj911, yhjj923",,,,,,,,yhjj923,1,19600
1170,9,yhjj904,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607819148000,3607819497900,경합 발생 오류,166,,,,2,"yhjj960, yhjj904",,,,,,,,"yhjj945, yhjj960",2,349900
1170,9,yhjj945,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607819212000,3607819240400,경합 발생 오류,167,,,,2,"yhjj945, yhjj904",,,,,,,,yhjj904,1,28400
1170,9,yhjj960,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607819362000,3607819381500,경합 발생 오류,168,,,,2,"yhjj960, yhjj904",,,,,,,,yhjj904,1,19500
1170,9,yhjj860,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.096651+00:00,3607819883200,3607820041400,경합 발생 오류,169,,,,2,"yhjj926, yhjj860",,,,,,,,yhjj926,1,158200
1170,9,yhjj926,100,100,,100,2025-07-12 06:02:16.094642+00:00,2025-07-12 06:02:16.094642+00:00,3607819904900,3607819986300,경합 발생 오류,170,,,,2,"yhjj926, yhjj860",,,,,,,,yhjj860,1,81400
1170,10,yhjj1010,100,100,,100,2025-07-12 06:02:16.098659+00:00,2025-07-12 06:02:16.098659+00:00,3607823383900,3607823753100,경합 발생 오류,184,,,,2,"yhjj980, yhjj1010",,,,,,,,yhjj980,1,369200
1170,10,yhjj980,100,100,,100,2025-07-12 06:02:16.098659+00:00,2025-07-12 06:02:16.098659+00:00,3607823395600,3607823415500,경합 발생 오류,185,,,,2,"yhjj980, yhjj1010",,,,,,,,yhjj1010,1,19900
1170,10,yhjj892,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825109100,3607825405300,경합 발생 오류,187,,,,3,"yhjj999, yhjj892, yhjj942",,,,,,,,"yhjj903, yhjj907, yhjj942, yhjj999",4,296200
1170,10,yhjj903,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825167200,3607825194900,경합 발생 오류,188,,,,2,"yhjj903, yhjj892",,,,,,,,yhjj892,1,27700
1170,10,yhjj907,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825216100,3607825245800,경합 발생 오류,189,,,,2,"yhjj907, yhjj892",,,,,,,,yhjj892,1,29700
1170,10,yhjj942,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825276800,3607825593000,경합 발생 오류,190,,,,3,"yhjj981, yhjj942, yhjj1003",,,,,,,,"yhjj892, yhjj999, yhjj1003, yhjj981",4,316200
1170,10,yhjj999,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825312200,3607825342400,경합 발생 오류,191,,,,3,"yhjj999, yhjj892, yhjj942",,,,,,,,"yhjj892, yhjj942",2,30200
1170,10,yhjj1003,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825433500,3607825924900,경합 발생 오류,192,,,,3,"yhjj941, yhjj1003, yhjj1017",,,,,,,,"yhjj942, yhjj981, yhjj1017, yhjj941",4,491400
1170,10,yhjj981,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825445600,3607825463800,경합 발생 오류,193,,,,3,"yhjj981, yhjj942, yhjj1003",,,,,,,,"yhjj942, yhjj1003",2,18200
1170,10,yhjj1017,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825615200,3607825929400,경합 발생 오류,194,,,,3,"yhjj941, yhjj1003, yhjj1017",,,,,,,,"yhjj1003, yhjj941",2,314200
1170,10,yhjj941,100,100,,100,2025-07-12 06:02:16.100669+00:00,2025-07-12 06:02:16.100669+00:00,3607825689100,3607825715100,경합 발생 오류,195,,,,3,"yhjj941, yhjj1003, yhjj1017",,,,,,,,"yhjj1003, yhjj1017",2,26000
1170,10,yhjj838,100,100,,100,2025-07-12 06:02:16.102678+00:00,2025-07-12 06:02:16.102678+00:00,3607828091600,3607828228600,경합 발생 오류,197,,,,4,"yhjj874, yhjj838, yhjj966, yhjj891",,,,,,,,"yhjj966, yhjj874",2,137000
1170,10,yhjj966,100,100,,100,2025-07-12 06:02:16.102678+00:00,2025-07-12 06:02:16.102678+00:00,3607828134400,3607828275200,경합 발생 오류,198,,,,4,"yhjj874, yhjj838, yhjj966, yhjj891",,,,,,,,"yhjj838, yhjj874",2,140800
1170,10,yhjj874,100,100,,100,2025-07-12 06:02:16.102678+00:00,2025-07-12 06:02:16.102678+00:00,3607828153200,3607828313600,경합 발생 오류,199,,,,2,"yhjj891, yhjj874",,,,,,,,"yhjj838, yhjj966, yhjj891",3,160400
1170,10,yhjj891,100,100,,100,2025-07-12 06:02:16.102678+00:00,2025-07-12 06:02:16.102678+00:00,3607828287900,3607828304000,경합 발생 오류,200,,,,2,"yhjj891, yhjj874",,,,,,,,yhjj874,1,16100
1171,1,yhjj834,4,6,5.0,100,2025-07-12 06:04:41.836876+00:00,2025-07-12 06:04:41.836876+00:00,3753560697300,3753560938800,"값 불일치, 경합 발생 오류, 상태 전이 오류",4,5.0,6.0,1.0,2,"yhjj838, yhjj834",,,,5.0,6.0,1.0,4.0,yhjj838,1,241500
